"class_id","class_name","severity","rubric","image_type","image_status","source","license","treatment_readiness","backend_state","frontend_state","persistence_state"
"7","马铃薯晚疫病","mild","叶、茎或块茎表面仅见少量水渍状不规则斑，叶背白霉或褐黑坏死局限","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"7","马铃薯晚疫病","moderate","水渍斑和白霉、褐黑坏死在同一单位内扩大或连接，茎开始褐变但仍有完整组织","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"7","马铃薯晚疫病","severe","叶片大部坏死干枯、茎段明显褐变，或块茎出现广泛褐变凹陷，单位完整性显著下降","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"8","芫菁","mild","同一叶片或冠层仅见少量叶缘缺刻或小孔洞，取食组织缺失局限，叶片主体完整","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"8","芫菁","moderate","缺刻、孔洞或撕裂明显增多并扩大，局部叶组织连续缺失，仍有完整叶面","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"8","芫菁","severe","叶片大面积被取食、骨架化或撕裂，连续组织缺失使冠层或评估单位明显失去功能","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"9","蚜虫","mild","嫩梢或叶片局部可见少量蚜虫或聚集点，卷曲、黄化或蜜露范围很小，组织主体完整","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"9","蚜虫","moderate","蚜虫聚集与蜜露、煤污在同一单位内扩大，嫩梢卷曲或畸形、叶片黄化较清楚","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"9","蚜虫","severe","嫩梢持续畸形，叶片大范围卷曲黄化并伴明显蜜露煤污，单位功能受损明显","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"10","盲蝽科","mild","嫩叶、芽或果实仅见少量针刺样斑，局部皱缩或畸形轻微，主体完整","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"10","盲蝽科","moderate","针刺样斑多处出现，嫩叶、芽皱缩畸形或果面浅斑明显，但仍有完整组织","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"10","盲蝽科","severe","芽、嫩梢或果实广泛畸形，针刺斑密集并伴连续组织损伤，评估单位功能明显下降","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"11","蝼蛄","mild","幼苗茎基或根际仅见局部新鲜咬痕、浅隧道，幼苗仍直立且可见组织连续","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"11","蝼蛄","moderate","茎基咬痕加深或根部受损，近旁隧道清楚，幼苗出现萎蔫或倾斜但未完全失活","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"11","蝼蛄","severe","茎基被明显咬断、根部广泛受损或幼苗倒伏、枯死，当前单位失去主要功能","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"12","叶蝉科","mild","叶片或嫩梢仅见少量点状失绿或轻微卷曲，可见虫体或取食位置局限","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"12","叶蝉科","moderate","点状失绿、叶脉黄化或卷曲在同一单位内增多，叶缘焦枯样区域出现","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"12","叶蝉科","severe","失绿黄化和卷曲、焦枯连续扩大，嫩梢或叶片功能明显下降","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"13","蝗总科","mild","叶片或冠层仅见少量叶缘缺刻或小孔洞，咀嚼组织缺失局限","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"13","蝗总科","moderate","缺刻和孔洞增多并扩大，叶片局部骨架化或组织缺失，但仍保留完整叶面","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"13","蝗总科","severe","叶片大面积骨架化或组织缺失，连续取食使冠层或评估单位明显失去功能","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"14","蛴螬","mild","植株及可见根系、茎基仅见少量咬痕或局部缺失，植株仍直立","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"14","蛴螬","moderate","根部咬痕和缺失范围扩大，出现可见萎蔫或倾倒倾向，但仍有部分根、茎基连续","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"14","蛴螬","severe","根系或茎基广泛受损、缺失明显，植株持续萎蔫、倒伏或枯死","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","NEEDS_RESEARCH","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"15","豆芫菁","mild","叶片、花序或冠层仅见少量叶缘缺刻或小孔洞，取食范围局限","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"15","豆芫菁","moderate","叶缘缺刻、孔洞或花部取食在同一单位内增多，局部组织缺失但仍完整","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
"15","豆芫菁","severe","叶片或花序大范围被取食，连续组织或花部缺失使评估单位功能、完整性明显下降","AI_ILLUSTRATION","READY_AI_ILLUSTRATION","internal imagegen","AI_ILLUSTRATION_INTERNAL_GENERATED","READY_KEEP","V2_AVAILABLE","SHARED_SELECTOR_READY","SAVE_READ_UPDATE_RELOAD"
