canonical_class	severity_level	pair_id	knowledge_document	heading	current_text_hash	current_text	adjustment_direction	mismatch_type	exact_operation	operation_sequence	candidate_final_text	candidate_final_text_hash	source_ids	source_support_status	retained_claims	removed_claims	scope_qualifiers_added	introduces_new_agricultural_fact	changes_measure_strength	tier_relocation	authoring_status	review_status	approved_final_text_hash
玉米锈病	中度	玉米锈病-中度	knowledge\baidu-baike-20260818\documents\04.md	### 中度	AE6C3B55C99E5E219927612E1AF5449A7DE3334D45DDAF9D1327AF613FD99197	### 中度\r\n\r\n1. 对病害持续扩展的田块加强监测，重点保护中上部功能叶和灌浆期叶片。\r\n2. 依据当前登记标签选用三唑类、甲氧基丙烯酸酯类或复配杀菌剂；南方锈病官方方案列出的有效成分方向包括吡唑醚菌酯、戊唑醇、氟环唑、嘧菌酯等及其复配剂。[04-T2]\r\n3. 根据病情、天气和产品标签判断是否需要第二次施药，不统一规定所有产品固定间隔。[04-T2]\r\n4. 轮换不同作用机制药剂，避免长期单一使用。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 对病害持续扩展的田块加强监测，重点保护中上部功能叶和灌浆期叶片。\r\n2. 依据当前登记标签选用三唑类、甲氧基丙烯酸酯类或复配杀菌剂；南方锈病官方方案列出的有效成分方向包括吡唑醚菌酯、戊唑醇、氟环唑、嘧菌酯等及其复配剂。[04-T2]\r\n3. 根据病情、天气和产品标签判断是否需要第二次施药，不统一规定所有产品固定间隔。[04-T2]\r\n4. 轮换不同作用机制药剂，避免长期单一使用。\r\n	595B4B622C100D41D64A5870EDEDC5C4A0DFE3AA80EF713274CFDADD232A7649	04-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	595B4B622C100D41D64A5870EDEDC5C4A0DFE3AA80EF713274CFDADD232A7649
番茄细菌性斑点病	中度	番茄细菌性斑点病-中度	knowledge\baidu-baike-20260818\documents\05.md	### 中度	29B107941540AC9BE5BA13B789DEE5575FCD1D2ABF96B5A46C4B5AEC29B4CCDE	### 中度\r\n\r\n1. 加强病叶清理、灌溉管理和操作分区，避免人员、工具和水滴把病菌从病区带到健康区。\r\n2. 北京设施蔬菜技术资料中，番茄细菌性病害可选用**春雷素·多粘菌、噻森铜**等登记药剂方向；是否适用于当前 P. syringae pv. tomato 必须以当前登记标签为准。[07-T2]\r\n3. 铜制剂只能提供部分保护作用，且可能存在铜抗性，不应把单一铜制剂视为“治愈性”方案。[07-T1]\r\n4. 按标签轮换药剂并严格执行安全间隔。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 加强病叶清理、灌溉管理和操作分区，避免人员、工具和水滴把病菌从病区带到健康区。\r\n2. 北京设施蔬菜技术资料中，番茄细菌性病害可选用**春雷素·多粘菌、噻森铜**等登记药剂方向；是否适用于当前 P. syringae pv. tomato 必须以当前登记标签为准。[07-T2]\r\n3. 铜制剂只能提供部分保护作用，且可能存在铜抗性，不应把单一铜制剂视为“治愈性”方案。[07-T1]\r\n4. 按标签轮换药剂并严格执行安全间隔。\r\n	353342DE5C37D6E9F046210A5F8BE47A0EE0845AD6558B7F667D3E6D6A796A3F	07-T1; 07-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	353342DE5C37D6E9F046210A5F8BE47A0EE0845AD6558B7F667D3E6D6A796A3F
番茄细菌性斑点病	重度	番茄细菌性斑点病-重度	knowledge\baidu-baike-20260818\documents\05.md	### 重度	C6D84098E3F31E4D52B4893F89A3137A9EE2F166956C202AFD9AE8EF9DD5FDBF	### 重度\r\n\r\n1. 对严重受害、已失去生产价值的植株及时清除并带出生产区。\r\n2. 严格实行病区与健康区操作分离，工具消毒、减少喷灌和雨滴飞溅。\r\n3. 药剂只使用当前登记用于番茄相应细菌病害的产品，不采用高频、高浓度或未经登记的混配方案。[07-T2]\r\n4. 重病田下茬采用健康种苗、清除病残体，并考虑与非寄主作物轮作。[07-T1]\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; REPHRASE C1; RETAIN C2; RETAIN C3; DELETE C4; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 对严重受害植株及时清除并带出生产区。\r\n2. 严格实行病区与健康区操作分离，工具消毒、减少喷灌和雨滴飞溅。\r\n3. 药剂只使用当前登记用于番茄相应细菌病害的产品，不采用高频、高浓度或未经登记的混配方案。[07-T2]\r\n	8B7E05F14ACA79C473E27BE2E93715F9C475B102613BBE1CC1A5DB6420E19008	07-T1; 07-T2	SUPPORTED	C1; C2; C3	C4	Q1	NO	NO	NO	DRAFTED	APPROVED	8B7E05F14ACA79C473E27BE2E93715F9C475B102613BBE1CC1A5DB6420E19008
番茄晚疫病	轻度	番茄晚疫病-轻度	knowledge\baidu-baike-20260818\documents\06.md	### 轻度	42186E498436C1F4BB13056C2D17E5445A6C4F8783425244A8CE44C8FA035531	### 轻度\r\n\r\n1. 发现中心病株或典型病叶后及时复核并清除严重病组织，降低初始侵染源。\r\n2. 加强棚室通风、清沟排水，尽量避免喷灌和叶面长时间潮湿。\r\n3. 关注连续阴雨、低温高湿等晚疫病高风险天气。\r\n4. 在预警或发病初期，可按当前登记标签选用**烯酰吗啉、氰霜唑、氟菌·霜霉威**等晚疫病药剂方向。[06-T1][06-T2]\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 轻度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 发现中心病株或典型病叶后及时复核并清除严重病组织，降低初始侵染源。\r\n2. 加强棚室通风、清沟排水，尽量避免喷灌和叶面长时间潮湿。\r\n3. 关注连续阴雨、低温高湿等晚疫病高风险天气。\r\n4. 在预警或发病初期，可按当前登记标签选用**烯酰吗啉、氰霜唑、氟菌·霜霉威**等晚疫病药剂方向。[06-T1][06-T2]\r\n	AD7C4A36349E7D6437B29E0795703C32AAE985A1F78D1F27981C8F9E7CBAACC9	06-T1; 06-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	AD7C4A36349E7D6437B29E0795703C32AAE985A1F78D1F27981C8F9E7CBAACC9
番茄晚疫病	中度	番茄晚疫病-中度	knowledge\baidu-baike-20260818\documents\06.md	### 中度	E8FE35B08C8A2B203EEA812C247C2D04A0220516009CBEC3DCEAFBA2C779810A	### 中度\r\n\r\n1. 多点发生后加强病株处理和健康叶片保护，减少田间二次传播。\r\n2. 根据当地预警和当前登记标签，可选择嘧菌酯、霜霉·嘧菌酯、嘧菌·百菌清等登记药剂，或使用当地登记的其他保护性/治疗性杀菌剂。[06-T2]\r\n3. 农业农村部技术指导曾给出 50%烯酰吗啉水分散粒剂、10%氰霜唑悬浮剂、68.75%氟菌·霜霉威悬浮剂等喷雾示例；实际必须以当前购买产品标签为准。[06-T1]\r\n4. 轮换作用机制，避免连续单一用药。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 多点发生后加强病株处理和健康叶片保护，减少田间二次传播。\r\n2. 根据当地预警和当前登记标签，可选择嘧菌酯、霜霉·嘧菌酯、嘧菌·百菌清等登记药剂，或使用当地登记的其他保护性/治疗性杀菌剂。[06-T2]\r\n3. 农业农村部技术指导曾给出 50%烯酰吗啉水分散粒剂、10%氰霜唑悬浮剂、68.75%氟菌·霜霉威悬浮剂等喷雾示例；实际必须以当前购买产品标签为准。[06-T1]\r\n4. 轮换作用机制，避免连续单一用药。\r\n	46DE6426EC0B2BCA2FB0FC9D1F9C3D3C448AC29CD7E942FD154B2D04A53F5638	06-T1; 06-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	46DE6426EC0B2BCA2FB0FC9D1F9C3D3C448AC29CD7E942FD154B2D04A53F5638
番茄晚疫病	重度	番茄晚疫病-重度	knowledge\baidu-baike-20260818\documents\06.md	### 重度	AEFA4807BAB8CEFDB4DAD00D5254C2722D881221A6C00BED46C5F263976A04C7	### 重度\r\n\r\n1. 及时清除严重病株、病果和大面积坏死组织，防止持续产生大量侵染源。\r\n2. 对仍有保产价值的区域开展统一防治，重点保护健康新生组织。\r\n3. 使用当地登记的晚疫病治疗性和保护性药剂组合管理，但所有剂量、次数、安全间隔均服从标签。[06-T1][06-T2]\r\n4. 已接近采收且大面积植株失去生产价值时，应结合剩余采收期决定是否继续防治或清园。\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; REPHRASE C1; RETAIN C3; DELETE C2; DELETE C4; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 及时清除严重病株、病果和坏死组织，防止持续产生侵染源。\r\n2. 使用当地登记的晚疫病治疗性和保护性药剂组合管理，但所有剂量、次数、安全间隔均服从标签。[06-T1][06-T2]\r\n	BAD9FFD4C0F56048FD1AAE5FD639FCCF865D3F4014518131D3967719296503A0	06-T1; 06-T2	SUPPORTED	C1; C3	C2; C4	Q1	NO	NO	NO	DRAFTED	APPROVED	BAD9FFD4C0F56048FD1AAE5FD639FCCF865D3F4014518131D3967719296503A0
马铃薯晚疫病	轻度	马铃薯晚疫病-轻度	knowledge\baidu-baike-20260818\documents\07.md	### 轻度	112D8C029574EE5AA6E8C8ABA51F576DC861DA4C4D18621415D393140F524931	### 轻度\r\n\r\n1. 依据当地监测预警和田间病圃情况确定防治时机，发现中心病株后及时控制。[16-T1][16-T2]\r\n2. 加强清沟排水、通风和田间病情巡查。\r\n3. 在风险期或发病初期，可使用当前登记的保护性杀菌剂，例如**代森锰锌、氟啶胺、氰霜唑**等方向。[16-T2]\r\n4. 喷药后遇雨是否需要补喷，应根据产品标签、药剂持效期和降雨情况决定。[16-T2]\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 轻度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 依据当地监测预警和田间病圃情况确定防治时机，发现中心病株后及时控制。[16-T1][16-T2]\r\n2. 加强清沟排水、通风和田间病情巡查。\r\n3. 在风险期或发病初期，可使用当前登记的保护性杀菌剂，例如**代森锰锌、氟啶胺、氰霜唑**等方向。[16-T2]\r\n4. 喷药后遇雨是否需要补喷，应根据产品标签、药剂持效期和降雨情况决定。[16-T2]\r\n	4F5995F58F20BAA28C12530DDCE5F589574884E289210EF283B273D9621D51F9	16-T1; 16-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	4F5995F58F20BAA28C12530DDCE5F589574884E289210EF283B273D9621D51F9
马铃薯晚疫病	中度	马铃薯晚疫病-中度	knowledge\baidu-baike-20260818\documents\07.md	### 中度	5C73EAF03C0B3403835B03F8C1CD75DAA25C8BCC86D351F53821EB369584B9B4	### 中度\r\n\r\n1. 多点发生后同时保护健康叶片并控制中心病株。\r\n2. 根据当前登记标签可选择**烯酰吗啉、氟噻唑吡乙酮、氟吡菌胺·烯酰吗啉、氟菌·霜霉威、霜脲·嘧菌酯、唑醚·氰霜唑、烯酰·锰锌**等药剂方向。[16-T2]\r\n3. 可采用内吸治疗剂和保护性药剂的合理轮换/组合，但必须遵守标签混配要求。[16-T1][16-T2]\r\n4. 连续防治时间隔按天气、持效期和标签执行，不设置全系统固定喷药周期。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 多点发生后同时保护健康叶片并控制中心病株。\r\n2. 根据当前登记标签可选择**烯酰吗啉、氟噻唑吡乙酮、氟吡菌胺·烯酰吗啉、氟菌·霜霉威、霜脲·嘧菌酯、唑醚·氰霜唑、烯酰·锰锌**等药剂方向。[16-T2]\r\n3. 可采用内吸治疗剂和保护性药剂的合理轮换/组合，但必须遵守标签混配要求。[16-T1][16-T2]\r\n4. 连续防治时间隔按天气、持效期和标签执行，不设置全系统固定喷药周期。\r\n	AF5210C326F725FCBA4752C29AB68DDB82965DC3D74C361B4F563700B2FB9B71	16-T1; 16-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	AF5210C326F725FCBA4752C29AB68DDB82965DC3D74C361B4F563700B2FB9B71
马铃薯晚疫病	重度	马铃薯晚疫病-重度	knowledge\baidu-baike-20260818\documents\07.md	### 重度	8F9EBBC296C4AF4C999F2C8A35DBE00383EB5309179287E9E58FF8FA691367F4	### 重度\r\n\r\n1. 大面积发病时实施统一防控，重点降低继续侵染块茎和健康叶片的风险。\r\n2. 使用登记晚疫病药剂进行治疗性 + 保护性防治，并轮换作用机制；不得使用“最高剂量”“高浓度高频次”策略。[16-T1][16-T2]\r\n3. 对接近收获的地块，是否杀秧、提前收获以及杀秧后病害管理，应依据当地马铃薯晚疫病技术方案和块茎成熟度决定。[16-T1]\r\n4. 收获时减少块茎损伤和泥水污染，剔除明显病薯，做好通风和贮藏管理。[16-T3]\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C2; RETAIN C4; DELETE C1; DELETE C3; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 使用登记晚疫病药剂进行治疗性 + 保护性防治，并轮换作用机制；不得使用“最高剂量”“高浓度高频次”策略。[16-T1][16-T2]\r\n2. 收获时减少块茎损伤和泥水污染，剔除明显病薯，做好通风和贮藏管理。[16-T3]\r\n	E72C4C1521E2325E025EE561D494D37B8593A70F79389AD64FC4518FDF318E69	16-T1; 16-T2; 16-T3	SUPPORTED	C2; C4	C1; C3	Q1	NO	NO	NO	DRAFTED	APPROVED	E72C4C1521E2325E025EE561D494D37B8593A70F79389AD64FC4518FDF318E69
芫菁	中度	芫菁-中度	knowledge\baidu-baike-20260818\documents\08.md	### 中度	621F9C64581D039BA1D2944DF2B6B06C8CF280DC9D0634886AF571C25807D266	### 中度\r\n\r\n1. 对群集取食区域开展人工捕捉 + 局部药剂挑治。\r\n2. 鄂尔多斯市农牧局针对田间芫菁的技术资料给出了**高效氯氰菊酯、氯氟氰菊酯、氰戊菊酯、溴氰菊酯**等药剂示例。[09-T1]\r\n3. 具体剂量和使用范围必须以当前产品标签及目标作物登记为准，不将旧资料中的浓度自动写死到系统。\r\n4. 施药时避开高温和授粉昆虫活动高峰，并做好人员防护。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 对群集取食区域开展人工捕捉 + 局部药剂挑治。\r\n2. 鄂尔多斯市农牧局针对田间芫菁的技术资料给出了**高效氯氰菊酯、氯氟氰菊酯、氰戊菊酯、溴氰菊酯**等药剂示例。[09-T1]\r\n3. 具体剂量和使用范围必须以当前产品标签及目标作物登记为准，不将旧资料中的浓度自动写死到系统。\r\n4. 施药时避开高温和授粉昆虫活动高峰，并做好人员防护。\r\n	E07CE46BE4794302EE77463170F2F004DF1DB065DCB7A50DE61B262652701E4D	09-T1	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	E07CE46BE4794302EE77463170F2F004DF1DB065DCB7A50DE61B262652701E4D
芫菁	重度	芫菁-重度	knowledge\baidu-baike-20260818\documents\08.md	### 重度	D6BA4AFE0A8D9499D4D1701EAEA206121C21E300955C6E635D22281CC894562D	### 重度\r\n\r\n1. 大面积群集危害时实行相邻田块联防联控，防止虫体反复迁移。\r\n2. 选择当前登记用于目标作物及芫菁类害虫的产品进行统一防治。[09-T1][09-T2]\r\n3. 轮换不同作用机制，不因严重程度自行提高药量。[09-T2]\r\n4. 严重受害且失去恢复价值的组织或植株，可结合生产要求及时清理。\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C3; RETAIN C4; DELETE C1; DELETE C2; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 轮换不同作用机制，不因严重程度自行提高药量。[09-T2]\r\n2. 严重受害且失去恢复价值的组织或植株，可结合生产要求及时清理。\r\n	B73877FC77B082AA969B53FB551B6E593708B59B6B12444F96648C648A31919A	09-T1; 09-T2	SUPPORTED	C3; C4	C1; C2	Q1	NO	NO	NO	DRAFTED	APPROVED	B73877FC77B082AA969B53FB551B6E593708B59B6B12444F96648C648A31919A
蚜虫	中度	蚜虫-中度	knowledge\baidu-baike-20260818\documents\09.md	### 中度	AB135A5218B9F3C58BBAC9D3DE78C96A9A71E80534D6BC61932A098E6581F0B4	### 中度\r\n\r\n1. 重点检查嫩梢、叶背和生长点，对虫群集中区域进行针对性处理。\r\n2. 农业农村部和全国农技中心方案中，蚜虫防治常见有效成分包括**吡虫啉、吡蚜酮、啶虫脒、噻虫嗪、氟啶虫酰胺**等；系统推荐前必须核对目标作物登记。[10-T1][10-T2]\r\n3. 施药时保证叶背和嫩梢有效覆盖，同时保护天敌。\r\n4. 如蚜虫可能传播病毒病，应同步加强病毒病株巡查。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 重点检查嫩梢、叶背和生长点，对虫群集中区域进行针对性处理。\r\n2. 农业农村部和全国农技中心方案中，蚜虫防治常见有效成分包括**吡虫啉、吡蚜酮、啶虫脒、噻虫嗪、氟啶虫酰胺**等；系统推荐前必须核对目标作物登记。[10-T1][10-T2]\r\n3. 施药时保证叶背和嫩梢有效覆盖，同时保护天敌。\r\n4. 如蚜虫可能传播病毒病，应同步加强病毒病株巡查。\r\n	03A5A800A67E169E4246DDC940CE094280955D29A2DF94DF3F502B25D3288E09	10-T1; 10-T2	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	03A5A800A67E169E4246DDC940CE094280955D29A2DF94DF3F502B25D3288E09
蚜虫	重度	蚜虫-重度	knowledge\baidu-baike-20260818\documents\09.md	### 重度	014CDBA24454CE406080D19D6392601DE67D07CDD56B2F8DB892FFFC5CC9502B	### 重度\r\n\r\n1. 大面积暴发时采用区域协调防治，优先保护仍健康的植株和新生组织。\r\n2. 根据当前登记选择高效、低风险蚜虫药剂并轮换作用机制，避免抗性累积。[10-T1][10-T2]\r\n3. 不固定要求“每几天喷一次”；具体间隔和最多次数按产品标签执行。\r\n4. 对严重受害并伴随病毒病、失去恢复价值的植株，根据具体作物生产要求及时清理。\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C2; RETAIN C3; RETAIN C4; DELETE C1; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 根据当前登记选择高效、低风险蚜虫药剂并轮换作用机制，避免抗性累积。[10-T1][10-T2]\r\n2. 不固定要求“每几天喷一次”；具体间隔和最多次数按产品标签执行。\r\n3. 对严重受害并伴随病毒病、失去恢复价值的植株，根据具体作物生产要求及时清理。\r\n	601ADFF59144101979CC6A70A5680606E16D6D2ECC953FE66EA93A4435FC84AB	10-T1; 10-T2	SUPPORTED	C2; C3; C4	C1	Q1	NO	NO	NO	DRAFTED	APPROVED	601ADFF59144101979CC6A70A5680606E16D6D2ECC953FE66EA93A4435FC84AB
蝗总科	中度	蝗总科-中度	knowledge\baidu-baike-20260818\documents\13.md	### 中度	C17D4572ABA71F5BA84A1D7FA01A221B6D0933E822B48055C9B9F3EEBF477037	### 中度\r\n\r\n1. 抓住 2–4 龄低龄蝗蝻活动范围较小的阶段开展重点防治。\r\n2. 对局部高虫量区域实施挑治、点杀点治和联防联控。\r\n3. 需要化学防治时，可使用当地登记用于蝗虫的**高效氯氰菊酯、马拉硫磷、高氯·马等**药剂方向。[12-T1]\r\n4. 避免水源保护区、养蜂区等敏感区域的不当化学施药。\r\n\r\n	require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity	scope_and_registration_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C1; RETAIN C2; RETAIN C3; RETAIN C4; REPLACE_TEXT complete candidate section	### 中度\r\n\r\n> 适用范围：以下内容仅作为当前确认样本的可选一般指导；不得依据当前样本自动选择治疗层级。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 抓住 2–4 龄低龄蝗蝻活动范围较小的阶段开展重点防治。\r\n2. 对局部高虫量区域实施挑治、点杀点治和联防联控。\r\n3. 需要化学防治时，可使用当地登记用于蝗虫的**高效氯氰菊酯、马拉硫磷、高氯·马等**药剂方向。[12-T1]\r\n4. 避免水源保护区、养蜂区等敏感区域的不当化学施药。\r\n	30F4909477ADB0C0424E35F2EF8E91A04C72F67DECAE88F3E4F44913977B00D4	12-T1	SUPPORTED	C1; C2; C3; C4		Q1	NO	NO	NO	DRAFTED	APPROVED	30F4909477ADB0C0424E35F2EF8E91A04C72F67DECAE88F3E4F44913977B00D4
蝗总科	重度	蝗总科-重度	knowledge\baidu-baike-20260818\documents\13.md	### 重度	56E080017CAAC0B2AF1D697C2EF636DAC418E323B3D0DCD46070BF69785E4C7E	### 重度\r\n\r\n1. 出现大范围群集、明显迁飞或区域性暴发时，应立即报告当地农业农村或植保部门。\r\n2. 高密度发生区采用专业化统防统治，由专业组织决定地面大型机械、无人机或其他施药方式。[12-T1]\r\n3. 普通农户不自行进行航空超低容量配药或扩大用药范围。\r\n4. 施药后持续评估虫口变化，达到预期效果后停止过度施药。[12-T1]\r\n\r\n	separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation	scope_mismatch	COMPOSITE	ADD_SCOPE_QUALIFIER Q1; RETAIN C4; DELETE C1; DELETE C2; DELETE C3; REPLACE_TEXT complete candidate section	### 重度\r\n\r\n> 适用范围：以下内容仅针对当前确认样本及其可见组织；当前样本的重度观察不自动推断大面积、产量、采收期或区域防控。涉及药剂时，须由用户确认目标作物并核对当前产品标签及登记适用范围。\r\n\r\n1. 施药后持续评估虫口变化，达到预期效果后停止过度施药。[12-T1]\r\n	77DA231525B0FDEA9DEFC66A3365A66F0A1A9EEB4ACE08D936DD19193DC0EC9B	12-T1	SUPPORTED	C4	C1; C2; C3	Q1	NO	NO	NO	DRAFTED	APPROVED	77DA231525B0FDEA9DEFC66A3365A66F0A1A9EEB4ACE08D936DD19193DC0EC9B
