"canonical_class"	"severity_level"	"assessment_template"	"assessment_unit"	"treatment_pair_id"	"knowledge_document"	"current_treatment_heading"	"current_treatment_source_ids"	"current_alignment"	"alignment_reason"	"evidence_ids"	"research_status"	"proposed_action"	"mismatch_type"	"implementation_readiness"	"unresolved_blocker"	"notes"
"马铃薯早疫病"	"中度"	"仅评估当前选择的 一片叶、一个茎段或一个块茎表面；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个块茎表面"	"马铃薯早疫病-中度"	"knowledge\baidu-baike-20260818\documents\03.md"	"### 中度"	"15-T1"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-03"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"马铃薯早疫病"	"重度"	"仅评估当前选择的 一片叶、一个茎段或一个块茎表面；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个块茎表面"	"马铃薯早疫病-重度"	"knowledge\baidu-baike-20260818\documents\03.md"	"### 重度"	"15-T1; 15-T3"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-03"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"玉米锈病"	"轻度"	"仅评估当前选择的 一片叶或一段叶鞘；不合并其他器官、其他植株或田间情况。"	"一片叶或一段叶鞘"	"玉米锈病-轻度"	"knowledge\baidu-baike-20260818\documents\04.md"	"### 轻度"	"04-T1; 04-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-04"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"玉米锈病"	"中度"	"仅评估当前选择的 一片叶或一段叶鞘；不合并其他器官、其他植株或田间情况。"	"一片叶或一段叶鞘"	"玉米锈病-中度"	"knowledge\baidu-baike-20260818\documents\04.md"	"### 中度"	"04-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-04"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"玉米锈病"	"重度"	"仅评估当前选择的 一片叶或一段叶鞘；不合并其他器官、其他植株或田间情况。"	"一片叶或一段叶鞘"	"玉米锈病-重度"	"knowledge\baidu-baike-20260818\documents\04.md"	"### 重度"	"04-T2"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-04"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"canonical label lacks southern-rust subtype confirmation and field-stage context"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄细菌性斑点病"	"轻度"	"仅评估当前选择的 一片叶、一个茎或叶柄段或一个果实；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎或叶柄段或一个果实"	"番茄细菌性斑点病-轻度"	"knowledge\baidu-baike-20260818\documents\05.md"	"### 轻度"	"07-T1"	"READY_KEEP"	"当前条目以局部清理、监测、物理/农业措施或低风险选择为主；与用户确认的当前样本轻度观察相容，但仅作为可选一般指导，不自动触发。"	"E-05"	"confirmed_2026-09-01"	"preserve frozen wording; future UI labels it general guidance and requires current label/registration checks"	"none"	"READY"	"none"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄细菌性斑点病"	"中度"	"仅评估当前选择的 一片叶、一个茎或叶柄段或一个果实；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎或叶柄段或一个果实"	"番茄细菌性斑点病-中度"	"knowledge\baidu-baike-20260818\documents\05.md"	"### 中度"	"07-T1; 07-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-05"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄细菌性斑点病"	"重度"	"仅评估当前选择的 一片叶、一个茎或叶柄段或一个果实；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎或叶柄段或一个果实"	"番茄细菌性斑点病-重度"	"knowledge\baidu-baike-20260818\documents\05.md"	"### 重度"	"07-T1; 07-T2"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-05"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄晚疫病"	"轻度"	"仅评估当前选择的 一片叶、一个茎段或一个果实；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个果实"	"番茄晚疫病-轻度"	"knowledge\baidu-baike-20260818\documents\06.md"	"### 轻度"	"06-T1; 06-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-06"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄晚疫病"	"中度"	"仅评估当前选择的 一片叶、一个茎段或一个果实；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个果实"	"番茄晚疫病-中度"	"knowledge\baidu-baike-20260818\documents\06.md"	"### 中度"	"06-T1; 06-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-06"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"番茄晚疫病"	"重度"	"仅评估当前选择的 一片叶、一个茎段或一个果实；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个果实"	"番茄晚疫病-重度"	"knowledge\baidu-baike-20260818\documents\06.md"	"### 重度"	"06-T1; 06-T2"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-06"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"马铃薯晚疫病"	"轻度"	"仅评估当前选择的 一片叶、一个茎段或一个块茎表面；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个块茎表面"	"马铃薯晚疫病-轻度"	"knowledge\baidu-baike-20260818\documents\07.md"	"### 轻度"	"16-T1; 16-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-07"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"马铃薯晚疫病"	"中度"	"仅评估当前选择的 一片叶、一个茎段或一个块茎表面；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个块茎表面"	"马铃薯晚疫病-中度"	"knowledge\baidu-baike-20260818\documents\07.md"	"### 中度"	"16-T1; 16-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-07"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"马铃薯晚疫病"	"重度"	"仅评估当前选择的 一片叶、一个茎段或一个块茎表面；不合并其他器官、其他植株或田间情况。"	"一片叶、一个茎段或一个块茎表面"	"马铃薯晚疫病-重度"	"knowledge\baidu-baike-20260818\documents\07.md"	"### 重度"	"16-T1; 16-T2; 16-T3"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-07"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"芫菁"	"轻度"	"仅评估当前选择的 一片叶或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶或一株可见冠层"	"芫菁-轻度"	"knowledge\baidu-baike-20260818\documents\08.md"	"### 轻度"	"09-T1; 09-T2"	"READY_KEEP"	"当前条目以局部清理、监测、物理/农业措施或低风险选择为主；与用户确认的当前样本轻度观察相容，但仅作为可选一般指导，不自动触发。"	"E-08"	"confirmed_2026-09-01"	"preserve frozen wording; future UI labels it general guidance and requires current label/registration checks"	"none"	"READY"	"none"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"芫菁"	"中度"	"仅评估当前选择的 一片叶或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶或一株可见冠层"	"芫菁-中度"	"knowledge\baidu-baike-20260818\documents\08.md"	"### 中度"	"09-T1"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-08"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"芫菁"	"重度"	"仅评估当前选择的 一片叶或一株可见冠层；不合并其他器官、其他植株或田间情况。"	"一片叶或一株可见冠层"	"芫菁-重度"	"knowledge\baidu-baike-20260818\documents\08.md"	"### 重度"	"09-T1; 09-T2"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-08"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蚜虫"	"轻度"	"仅评估当前选择的 一片叶或一段嫩梢；不合并其他器官、其他植株或田间情况。"	"一片叶或一段嫩梢"	"蚜虫-轻度"	"knowledge\baidu-baike-20260818\documents\09.md"	"### 轻度"	"10-T1; 10-T2"	"READY_KEEP"	"当前条目以局部清理、监测、物理/农业措施或低风险选择为主；与用户确认的当前样本轻度观察相容，但仅作为可选一般指导，不自动触发。"	"E-09"	"confirmed_2026-09-01"	"preserve frozen wording; future UI labels it general guidance and requires current label/registration checks"	"none"	"READY"	"none"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蚜虫"	"中度"	"仅评估当前选择的 一片叶或一段嫩梢；不合并其他器官、其他植株或田间情况。"	"一片叶或一段嫩梢"	"蚜虫-中度"	"knowledge\baidu-baike-20260818\documents\09.md"	"### 中度"	"10-T1; 10-T2"	"READY_KEEP"	"现有条目可作为治疗背景，但其选择依据含田间或登记语境；V2 是用户确认的单位级观察，不能自动选择该 tier。"	"E-09"	"specified_2026-09-01"	"require explicit user confirmation and target-crop registration/label validation before optional guidance; never auto-convert historical severity"	"scope_and_registration_mismatch"	"READY"	"no automatic V2-to-treatment tier selection"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蚜虫"	"重度"	"仅评估当前选择的 一片叶或一段嫩梢；不合并其他器官、其他植株或田间情况。"	"一片叶或一段嫩梢"	"蚜虫-重度"	"knowledge\baidu-baike-20260818\documents\09.md"	"### 重度"	"10-T1; 10-T2"	"READY_KEEP"	"现有重度条目含区域联防、产量/采收期或大范围管理语义；V2 severe 仅表示当前样本单位的可见功能损伤，二者不能自动等同。"	"E-09"	"specified_2026-09-01"	"separate current-sample severe display from field-scale escalation; require user/context confirmation and current registration/label validation"	"scope_mismatch"	"READY"	"no automatic field-scale, yield, harvest, or regional-control inference"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"盲蝽科"	"轻度"	"仅评估当前选择的 一片嫩叶、一个芽或嫩梢或一个果实；不合并其他器官、其他植株或田间情况。"	"一片嫩叶、一个芽或嫩梢或一个果实"	"盲蝽科-轻度"	"knowledge\baidu-baike-20260818\documents\10.md"	"### 轻度"	"08-T1"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-10"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"family-level class and unspecified crop cannot support crop-specific threshold, label, or action mapping"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"盲蝽科"	"中度"	"仅评估当前选择的 一片嫩叶、一个芽或嫩梢或一个果实；不合并其他器官、其他植株或田间情况。"	"一片嫩叶、一个芽或嫩梢或一个果实"	"盲蝽科-中度"	"knowledge\baidu-baike-20260818\documents\10.md"	"### 中度"	"08-T1"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-10"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"family-level class and unspecified crop cannot support crop-specific threshold, label, or action mapping"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"盲蝽科"	"重度"	"仅评估当前选择的 一片嫩叶、一个芽或嫩梢或一个果实；不合并其他器官、其他植株或田间情况。"	"一片嫩叶、一个芽或嫩梢或一个果实"	"盲蝽科-重度"	"knowledge\baidu-baike-20260818\documents\10.md"	"### 重度"	"08-T1"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-10"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"family-level class and unspecified crop cannot support crop-specific threshold, label, or action mapping"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蝼蛄"	"轻度"	"仅评估当前选择的 一株幼苗及直接可见茎基或根际；不合并其他器官、其他植株或田间情况。"	"一株幼苗及直接可见茎基或根际"	"蝼蛄-轻度"	"knowledge\baidu-baike-20260818\documents\11.md"	"### 轻度"	"13-T1"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-11"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"belowground action needs direct soil/root confirmation plus crop and field context"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蝼蛄"	"中度"	"仅评估当前选择的 一株幼苗及直接可见茎基或根际；不合并其他器官、其他植株或田间情况。"	"一株幼苗及直接可见茎基或根际"	"蝼蛄-中度"	"knowledge\baidu-baike-20260818\documents\11.md"	"### 中度"	"13-T1"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-11"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"belowground action needs direct soil/root confirmation plus crop and field context"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"蝼蛄"	"重度"	"仅评估当前选择的 一株幼苗及直接可见茎基或根际；不合并其他器官、其他植株或田间情况。"	"一株幼苗及直接可见茎基或根际"	"蝼蛄-重度"	"knowledge\baidu-baike-20260818\documents\11.md"	"### 重度"	"13-T1; 13-T2"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-11"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"belowground action needs direct soil/root confirmation plus crop and field context"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"叶蝉科"	"轻度"	"仅评估当前选择的 一片叶或一段嫩梢；不合并其他器官、其他植株或田间情况。"	"一片叶或一段嫩梢"	"叶蝉科-轻度"	"knowledge\baidu-baike-20260818\documents\12.md"	"### 轻度"	"02-T1; 02-T2; 02-T3"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-12"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"family-level class and unspecified crop cannot support tea/crop-specific action mapping"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
"叶蝉科"	"中度"	"仅评估当前选择的 一片叶或一段嫩梢；不合并其他器官、其他植株或田间情况。"	"一片叶或一段嫩梢"	"叶蝉科-中度"	"knowledge\baidu-baike-20260818\documents\12.md"	"### 中度"	"02-T1; 02-T3"	"NEEDS_RESEARCH"	"该类别或条目依赖作物、虫口或田块级语境，或地下/刺吸损伤缺少当前样本到行动的验证映射；现有来源不是 V2 视觉阈值证据。"	"E-12"	"researched_2026-09-01"	"do not migrate to an automatic tier; provide only non-tier reassessment/general-safety fallback until blocker is resolved"	"canonical_or_context_gap"	"BLOCKED"	"family-level class and unspecified crop cannot support tea/crop-specific action mapping"	"Normative pair-level alignment. Treatment text remains frozen; this row does not authorize a knowledge-body change."
